Entity,Code,Year,cmr
Afghanistan,AFG,1957,37.61
Afghanistan,AFG,1958,37.05
Afghanistan,AFG,1959,36.49
Afghanistan,AFG,1960,35.95
Afghanistan,AFG,1961,35.39
Afghanistan,AFG,1962,34.86
Afghanistan,AFG,1963,34.39
Afghanistan,AFG,1964,33.87
Afghanistan,AFG,1965,33.35
Afghanistan,AFG,1966,32.86
Afghanistan,AFG,1967,32.37
Afghanistan,AFG,1968,31.87
Afghanistan,AFG,1969,31.37
Afghanistan,AFG,1970,30.9
Afghanistan,AFG,1971,30.41
Afghanistan,AFG,1972,29.9
Afghanistan,AFG,1973,29.4
Afghanistan,AFG,1974,28.88
Afghanistan,AFG,1975,28.36
Afghanistan,AFG,1976,27.8
Afghanistan,AFG,1977,27.27
Afghanistan,AFG,1978,26.7
Afghanistan,AFG,1979,26.09
Afghanistan,AFG,1980,25.5
Afghanistan,AFG,1981,24.87
Afghanistan,AFG,1982,24.21
Afghanistan,AFG,1983,23.51
Afghanistan,AFG,1984,22.75
Afghanistan,AFG,1985,21.96
Afghanistan,AFG,1986,21.13
Afghanistan,AFG,1987,20.33
Afghanistan,AFG,1988,19.5
Afghanistan,AFG,1989,18.69
Afghanistan,AFG,1990,17.91
Afghanistan,AFG,1991,17.15
Afghanistan,AFG,1992,16.46
Afghanistan,AFG,1993,15.84
Afghanistan,AFG,1994,15.33
Afghanistan,AFG,1995,14.91
Afghanistan,AFG,1996,14.57
Afghanistan,AFG,1997,14.3
Afghanistan,AFG,1998,14.06
Afghanistan,AFG,1999,13.82
Afghanistan,AFG,2000,13.56
Afghanistan,AFG,2001,13.27
Afghanistan,AFG,2002,12.94
Afghanistan,AFG,2003,12.59
Afghanistan,AFG,2004,12.24
Afghanistan,AFG,2005,11.9
Afghanistan,AFG,2006,11.58
Afghanistan,AFG,2007,11.29
Afghanistan,AFG,2008,11.02
Afghanistan,AFG,2009,10.77
Afghanistan,AFG,2010,10.52
Afghanistan,AFG,2011,10.26
Afghanistan,AFG,2012,10
Afghanistan,AFG,2013,9.73
Afghanistan,AFG,2014,9.39
Afghanistan,AFG,2015,9.11
Australia,AUS,1921,8.9003419
Australia,AUS,1922,7.0894627
Australia,AUS,1923,7.95230704
Australia,AUS,1924,7.62476995
Australia,AUS,1925,7.02232234
Australia,AUS,1926,7.09359818
Australia,AUS,1927,7.31127322
Australia,AUS,1928,7.21062684
Australia,AUS,1929,6.89907088
Australia,AUS,1930,6.45366862
Australia,AUS,1931,5.51402986
Australia,AUS,1932,5.44795036
Australia,AUS,1933,5.3938279
Australia,AUS,1934,5.87118936
Australia,AUS,1935,5.42272
Australia,AUS,1936,5.62028184
Australia,AUS,1937,5.11333501
Australia,AUS,1938,5.113621
Australia,AUS,1939,5.09865856
Australia,AUS,1940,5.04807184
Australia,AUS,1941,5.27507827
Australia,AUS,1942,5.17445074
Australia,AUS,1943,5.0390058
Australia,AUS,1944,4.14796141
Australia,AUS,1945,3.8011332
Australia,AUS,1946,3.85531444
Australia,AUS,1947,3.57372007
Australia,AUS,1948,3.38361328
Australia,AUS,1949,3.22
Australia,AUS,1950,3.16
Australia,AUS,1951,3.1
Australia,AUS,1952,3.03
Australia,AUS,1953,2.95
Australia,AUS,1954,2.87
Australia,AUS,1955,2.8
Australia,AUS,1956,2.73
Australia,AUS,1957,2.66
Australia,AUS,1958,2.6
Australia,AUS,1959,2.54
Australia,AUS,1960,2.49
Australia,AUS,1961,2.43
Australia,AUS,1962,2.37
Australia,AUS,1963,2.32
Australia,AUS,1964,2.27
Australia,AUS,1965,2.24
Australia,AUS,1966,2.21
Australia,AUS,1967,2.2
Australia,AUS,1968,2.19
Australia,AUS,1969,2.17
Australia,AUS,1970,2.14
Australia,AUS,1971,2.09
Australia,AUS,1972,2.02
Australia,AUS,1973,1.93
Australia,AUS,1974,1.84
Australia,AUS,1975,1.73
Australia,AUS,1976,1.62
Australia,AUS,1977,1.53
Australia,AUS,1978,1.44
Australia,AUS,1979,1.36
Australia,AUS,1980,1.3
Australia,AUS,1981,1.26
Australia,AUS,1982,1.22
Australia,AUS,1983,1.19
Australia,AUS,1984,1.16
Australia,AUS,1985,1.13
Australia,AUS,1986,1.1
Australia,AUS,1987,1.06
Australia,AUS,1988,1.02
Australia,AUS,1989,0.97
Australia,AUS,1990,0.92
Australia,AUS,1991,0.86
Australia,AUS,1992,0.81
Australia,AUS,1993,0.77
Australia,AUS,1994,0.73
Australia,AUS,1995,0.7
Australia,AUS,1996,0.68
Australia,AUS,1997,0.66
Australia,AUS,1998,0.65
Australia,AUS,1999,0.64
Australia,AUS,2000,0.62
Australia,AUS,2001,0.61
Australia,AUS,2002,0.6
Australia,AUS,2003,0.6
Australia,AUS,2004,0.59
Australia,AUS,2005,0.57
Australia,AUS,2006,0.56
Australia,AUS,2007,0.54
Australia,AUS,2008,0.52
Australia,AUS,2009,0.5
Australia,AUS,2010,0.48
Australia,AUS,2011,0.45
Australia,AUS,2012,0.43
Australia,AUS,2013,0.41
Australia,AUS,2014,0.39
Australia,AUS,2015,0.38
Bangladesh,BGD,1950,35.33
Bangladesh,BGD,1951,34.29
Bangladesh,BGD,1952,33.27
Bangladesh,BGD,1953,32.29
Bangladesh,BGD,1954,31.31
Bangladesh,BGD,1955,30.41
Bangladesh,BGD,1956,29.54
Bangladesh,BGD,1957,28.71
Bangladesh,BGD,1958,27.91
Bangladesh,BGD,1959,27.15
Bangladesh,BGD,1960,26.43
Bangladesh,BGD,1961,25.75
Bangladesh,BGD,1962,25.13
Bangladesh,BGD,1963,24.56
Bangladesh,BGD,1964,24.04
Bangladesh,BGD,1965,23.6
Bangladesh,BGD,1966,23.23
Bangladesh,BGD,1967,22.94
Bangladesh,BGD,1968,22.71
Bangladesh,BGD,1969,22.54
Bangladesh,BGD,1970,22.41
Bangladesh,BGD,1971,22.3
Bangladesh,BGD,1972,22.2
Bangladesh,BGD,1973,22.07
Bangladesh,BGD,1974,21.91
Bangladesh,BGD,1975,21.71
Bangladesh,BGD,1976,21.45
Bangladesh,BGD,1977,21.12
Bangladesh,BGD,1978,20.74
Bangladesh,BGD,1979,20.33
Bangladesh,BGD,1980,19.89
Bangladesh,BGD,1981,19.42
Bangladesh,BGD,1982,18.94
Bangladesh,BGD,1983,18.44
Bangladesh,BGD,1984,17.91
Bangladesh,BGD,1985,17.35
Bangladesh,BGD,1986,16.77
Bangladesh,BGD,1987,16.18
Bangladesh,BGD,1988,15.58
Bangladesh,BGD,1989,14.97
Bangladesh,BGD,1990,14.37
Bangladesh,BGD,1991,13.77
Bangladesh,BGD,1992,13.17
Bangladesh,BGD,1993,12.58
Bangladesh,BGD,1994,11.99
Bangladesh,BGD,1995,11.42
Bangladesh,BGD,1996,10.86
Bangladesh,BGD,1997,10.32
Bangladesh,BGD,1998,9.79
Bangladesh,BGD,1999,9.28
Bangladesh,BGD,2000,8.8
Bangladesh,BGD,2001,8.35
Bangladesh,BGD,2002,7.9
Bangladesh,BGD,2003,7.48
Bangladesh,BGD,2004,7.07
Bangladesh,BGD,2005,6.68
Bangladesh,BGD,2006,6.3
Bangladesh,BGD,2007,5.94
Bangladesh,BGD,2008,5.59
Bangladesh,BGD,2009,5.26
Bangladesh,BGD,2010,4.96
Bangladesh,BGD,2011,4.67
Bangladesh,BGD,2012,4.4
Bangladesh,BGD,2013,4.16
Bangladesh,BGD,2014,3.95
Bangladesh,BGD,2015,3.76
China,CHN,1969,11.91
China,CHN,1970,11.33
China,CHN,1971,10.77
China,CHN,1972,10.21
China,CHN,1973,9.65
China,CHN,1974,9.09
China,CHN,1975,8.52
China,CHN,1976,7.98
China,CHN,1977,7.46
China,CHN,1978,7
China,CHN,1979,6.59
China,CHN,1980,6.24
China,CHN,1981,5.96
China,CHN,1982,5.74
China,CHN,1983,5.57
China,CHN,1984,5.46
China,CHN,1985,5.4
China,CHN,1986,5.37
China,CHN,1987,5.37
China,CHN,1988,5.39
China,CHN,1989,5.4
China,CHN,1990,5.38
China,CHN,1991,5.33
China,CHN,1992,5.24
China,CHN,1993,5.1
China,CHN,1994,4.93
China,CHN,1995,4.75
China,CHN,1996,4.56
China,CHN,1997,4.36
China,CHN,1998,4.15
China,CHN,1999,3.93
China,CHN,2000,3.69
China,CHN,2001,3.43
China,CHN,2002,3.16
China,CHN,2003,2.89
China,CHN,2004,2.63
China,CHN,2005,2.4
China,CHN,2006,2.19
China,CHN,2007,2.01
China,CHN,2008,1.85
China,CHN,2009,1.7
China,CHN,2010,1.57
China,CHN,2011,1.45
China,CHN,2012,1.34
China,CHN,2013,1.23
China,CHN,2014,1.14
China,CHN,2015,1.07
India,IND,1953,27.95
India,IND,1954,27.45
India,IND,1955,26.95
India,IND,1956,26.49
India,IND,1957,26.04
India,IND,1958,25.6
India,IND,1959,25.18
India,IND,1960,24.77
India,IND,1961,24.37
India,IND,1962,24
India,IND,1963,23.63
India,IND,1964,23.29
India,IND,1965,22.96
India,IND,1966,22.63
India,IND,1967,22.31
India,IND,1968,21.98
India,IND,1969,21.66
India,IND,1970,21.33
India,IND,1971,20.99
India,IND,1972,20.61
India,IND,1973,20.22
India,IND,1974,19.79
India,IND,1975,19.34
India,IND,1976,18.86
India,IND,1977,18.34
India,IND,1978,17.82
India,IND,1979,17.28
India,IND,1980,16.76
India,IND,1981,16.26
India,IND,1982,15.79
India,IND,1983,15.35
India,IND,1984,14.92
India,IND,1985,14.52
India,IND,1986,14.12
India,IND,1987,13.73
India,IND,1988,13.34
India,IND,1989,12.95
India,IND,1990,12.58
India,IND,1991,12.22
India,IND,1992,11.88
India,IND,1993,11.54
India,IND,1994,11.21
India,IND,1995,10.87
India,IND,1996,10.53
India,IND,1997,10.19
India,IND,1998,9.83
India,IND,1999,9.48
India,IND,2000,9.12
India,IND,2001,8.77
India,IND,2002,8.43
India,IND,2003,8.1
India,IND,2004,7.77
India,IND,2005,7.46
India,IND,2006,7.15
India,IND,2007,6.85
India,IND,2008,6.56
India,IND,2009,6.27
India,IND,2010,5.99
India,IND,2011,5.72
India,IND,2012,5.45
India,IND,2013,5.21
India,IND,2014,4.98
India,IND,2015,4.77
Pakistan,PAK,1950,40.71
Pakistan,PAK,1951,38.88
Pakistan,PAK,1952,37.15
Pakistan,PAK,1953,35.47
Pakistan,PAK,1954,33.89
Pakistan,PAK,1955,32.41
Pakistan,PAK,1956,31.01
Pakistan,PAK,1957,29.67
Pakistan,PAK,1958,28.44
Pakistan,PAK,1959,27.28
Pakistan,PAK,1960,26.19
Pakistan,PAK,1961,25.16
Pakistan,PAK,1962,24.19
Pakistan,PAK,1963,23.27
Pakistan,PAK,1964,22.43
Pakistan,PAK,1965,21.67
Pakistan,PAK,1966,20.98
Pakistan,PAK,1967,20.38
Pakistan,PAK,1968,19.83
Pakistan,PAK,1969,19.33
Pakistan,PAK,1970,18.88
Pakistan,PAK,1971,18.47
Pakistan,PAK,1972,18.1
Pakistan,PAK,1973,17.77
Pakistan,PAK,1974,17.46
Pakistan,PAK,1975,17.2
Pakistan,PAK,1976,16.96
Pakistan,PAK,1977,16.73
Pakistan,PAK,1978,16.53
Pakistan,PAK,1979,16.34
Pakistan,PAK,1980,16.15
Pakistan,PAK,1981,15.96
Pakistan,PAK,1982,15.77
Pakistan,PAK,1983,15.56
Pakistan,PAK,1984,15.34
Pakistan,PAK,1985,15.11
Pakistan,PAK,1986,14.87
Pakistan,PAK,1987,14.62
Pakistan,PAK,1988,14.36
Pakistan,PAK,1989,14.11
Pakistan,PAK,1990,13.86
Pakistan,PAK,1991,13.6
Pakistan,PAK,1992,13.35
Pakistan,PAK,1993,13.1
Pakistan,PAK,1994,12.83
Pakistan,PAK,1995,12.57
Pakistan,PAK,1996,12.3
Pakistan,PAK,1997,12.03
Pakistan,PAK,1998,11.76
Pakistan,PAK,1999,11.49
Pakistan,PAK,2000,11.23
Pakistan,PAK,2001,10.98
Pakistan,PAK,2002,10.75
Pakistan,PAK,2003,10.53
Pakistan,PAK,2004,10.32
Pakistan,PAK,2005,10.12
Pakistan,PAK,2006,9.93
Pakistan,PAK,2007,9.74
Pakistan,PAK,2008,9.55
Pakistan,PAK,2009,9.37
Pakistan,PAK,2010,9.18
Pakistan,PAK,2011,8.99
Pakistan,PAK,2012,8.78
Pakistan,PAK,2013,8.56
Pakistan,PAK,2014,8.33
Pakistan,PAK,2015,8.11
Russia,RUS,1959,6.300131712
Russia,RUS,1960,5.57888544
Russia,RUS,1961,4.950480648
Russia,RUS,1962,4.78278708
Russia,RUS,1963,4.540447128
Russia,RUS,1964,4.1344896
Russia,RUS,1965,3.892670064
Russia,RUS,1966,3.7423473
Russia,RUS,1967,3.69797112
Russia,RUS,1968,3.708009768
Russia,RUS,1969,3.597719196
Russia,RUS,1970,4.42
Russia,RUS,1971,4.24
Russia,RUS,1972,4.07
Russia,RUS,1973,3.92
Russia,RUS,1974,3.77
Russia,RUS,1975,3.66
Russia,RUS,1976,3.56
Russia,RUS,1977,3.48
Russia,RUS,1978,3.42
Russia,RUS,1979,3.36
Russia,RUS,1980,3.3
Russia,RUS,1981,3.25
Russia,RUS,1982,3.19
Russia,RUS,1983,3.13
Russia,RUS,1984,3.07
Russia,RUS,1985,3
Russia,RUS,1986,2.91
Russia,RUS,1987,2.81
Russia,RUS,1988,2.72
Russia,RUS,1989,2.64
Russia,RUS,1990,2.6
Russia,RUS,1991,2.59
Russia,RUS,1992,2.61
Russia,RUS,1993,2.63
Russia,RUS,1994,2.64
Russia,RUS,1995,2.64
Russia,RUS,1996,2.6
Russia,RUS,1997,2.56
Russia,RUS,1998,2.5
Russia,RUS,1999,2.42
Russia,RUS,2000,2.32
Russia,RUS,2001,2.2
Russia,RUS,2002,2.07
Russia,RUS,2003,1.93
Russia,RUS,2004,1.8
Russia,RUS,2005,1.67
Russia,RUS,2006,1.55
Russia,RUS,2007,1.44
Russia,RUS,2008,1.35
Russia,RUS,2009,1.27
Russia,RUS,2010,1.2
Russia,RUS,2011,1.14
Russia,RUS,2012,1.08
Russia,RUS,2013,1.04
Russia,RUS,2014,0.99
Russia,RUS,2015,0.96
Sri Lanka,LKA,1950,14.02
Sri Lanka,LKA,1951,13.53
Sri Lanka,LKA,1952,13.26
Sri Lanka,LKA,1953,12.99
Sri Lanka,LKA,1954,12.7
Sri Lanka,LKA,1955,12.36
Sri Lanka,LKA,1956,11.97
Sri Lanka,LKA,1957,11.54
Sri Lanka,LKA,1958,11.07
Sri Lanka,LKA,1959,10.59
Sri Lanka,LKA,1960,10.11
Sri Lanka,LKA,1961,9.66
Sri Lanka,LKA,1962,9.23
Sri Lanka,LKA,1963,8.84
Sri Lanka,LKA,1964,8.49
Sri Lanka,LKA,1965,8.18
Sri Lanka,LKA,1966,7.89
Sri Lanka,LKA,1967,7.65
Sri Lanka,LKA,1968,7.44
Sri Lanka,LKA,1969,7.26
Sri Lanka,LKA,1970,7.11
Sri Lanka,LKA,1971,6.97
Sri Lanka,LKA,1972,6.85
Sri Lanka,LKA,1973,6.71
Sri Lanka,LKA,1974,6.55
Sri Lanka,LKA,1975,6.36
Sri Lanka,LKA,1976,6.14
Sri Lanka,LKA,1977,5.89
Sri Lanka,LKA,1978,5.61
Sri Lanka,LKA,1979,5.31
Sri Lanka,LKA,1980,4.98
Sri Lanka,LKA,1981,4.62
Sri Lanka,LKA,1982,4.23
Sri Lanka,LKA,1983,3.83
Sri Lanka,LKA,1984,3.42
Sri Lanka,LKA,1985,3.03
Sri Lanka,LKA,1986,2.69
Sri Lanka,LKA,1987,2.42
Sri Lanka,LKA,1988,2.25
Sri Lanka,LKA,1989,2.15
Sri Lanka,LKA,1990,2.12
Sri Lanka,LKA,1991,2.13
Sri Lanka,LKA,1992,2.13
Sri Lanka,LKA,1993,2.11
Sri Lanka,LKA,1994,2.07
Sri Lanka,LKA,1995,2.02
Sri Lanka,LKA,1996,1.95
Sri Lanka,LKA,1997,1.87
Sri Lanka,LKA,1998,1.79
Sri Lanka,LKA,1999,1.7
Sri Lanka,LKA,2000,1.63
Sri Lanka,LKA,2001,1.58
Sri Lanka,LKA,2002,1.54
Sri Lanka,LKA,2003,1.51
Sri Lanka,LKA,2004,2.89
Sri Lanka,LKA,2005,1.4
Sri Lanka,LKA,2006,1.32
Sri Lanka,LKA,2007,1.25
Sri Lanka,LKA,2008,1.18
Sri Lanka,LKA,2009,1.13
Sri Lanka,LKA,2010,1.09
Sri Lanka,LKA,2011,1.06
Sri Lanka,LKA,2012,1.04
Sri Lanka,LKA,2013,1.02
Sri Lanka,LKA,2014,1
Sri Lanka,LKA,2015,0.98
